,Acc_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type
23144,201301XH30031,2,1,2,1,7,3,0,0,1,0,0,8,-1
23158,201301XH30048,2,1,2,2,6,3,0,0,1,0,0,9,-1
23159,201301XH30048,3,2,2,2,7,3,0,0,1,0,0,9,1
23167,201301XH30058,1,1,1,1,6,3,0,0,0,0,0,9,1
23196,201301XH30086,3,1,1,2,5,3,0,0,0,0,0,9,-1
23206,201301XH30095,2,2,2,1,6,3,0,0,2,0,0,9,1
23207,201301XH30095,2,3,2,2,6,3,0,0,2,0,0,9,1
23208,201301XH30095,3,1,2,1,8,3,0,0,2,0,0,9,-1
23219,201301XH30109,1,1,1,1,4,3,0,0,0,0,0,9,1
23237,201301XH30123,2,1,1,1,4,2,0,0,0,0,0,9,3
23238,201301XH30123,2,2,2,1,4,2,0,0,1,0,0,9,-1
23240,201301XH30126,2,1,2,2,-1,3,0,0,0,0,0,19,-1
23246,201301XH30131,2,1,1,1,8,3,0,0,0,0,0,9,1
23247,201301XH30131,3,2,2,2,5,3,0,0,1,0,0,9,-1
23273,201301XH30152,1,1,1,2,7,2,0,0,0,0,0,9,1
23274,201301XH30152,1,2,2,1,8,3,0,0,1,0,0,9,-1
23281,201301XH30162,2,1,1,1,6,3,0,0,0,0,0,9,2
23339,201301XH30207,1,1,1,1,-1,3,0,0,0,0,0,5,1
23384,201301XH30252,1,1,1,1,9,3,0,0,0,0,0,9,1
23435,201301XH30301,2,1,2,2,8,3,0,0,1,0,0,9,1
23463,201301XH30325,1,1,1,1,7,3,0,0,0,0,0,5,1
23468,201301XH30332,1,1,1,2,7,3,0,0,0,0,0,9,1
23510,201301XH30371,1,1,1,1,7,3,0,0,0,0,0,9,1
23533,201301XH30392,1,1,1,1,9,3,0,0,0,0,0,9,-1
23534,201301XH30392,3,2,2,2,11,3,0,0,1,0,0,9,-1
23535,201301XH30392,3,3,1,1,9,3,0,0,0,0,0,9,-1
23539,201301XH30397,1,1,1,1,7,3,0,0,0,0,0,9,1
23575,201301XH30438,1,1,1,1,9,3,0,0,0,0,0,9,3
23583,201301XH30448,2,1,1,1,8,3,0,0,0,0,0,9,1
23584,201301XH30448,2,2,2,2,8,3,0,0,1,0,0,9,1
23602,201301XH30464,3,1,1,1,8,3,0,0,0,0,0,8,1
23610,201301XH30473,1,1,1,1,7,3,0,0,0,0,0,9,1
23709,201301XH30570,1,1,1,2,7,3,0,0,0,0,0,9,1
23798,201301YE80003,1,1,1,2,5,3,0,0,0,0,0,9,-1
23963,201301YE80148,1,1,1,2,5,3,0,0,0,0,0,9,1
23964,201301YE80148,1,2,2,2,8,3,0,0,1,0,0,9,1
24057,201301YE80229,1,1,2,2,4,3,0,0,2,0,0,9,1
24058,201301YE80229,1,2,2,2,4,3,0,0,2,0,0,9,1
24088,201301YE80254,1,1,2,2,6,3,0,0,1,0,0,9,1
24114,201301YE80275,1,1,1,2,6,3,0,0,0,0,0,9,2
24129,201301YE80291,1,1,1,1,5,3,0,0,0,0,0,9,3
24130,201301YE80291,1,2,2,2,5,3,0,0,1,0,0,9,3
24135,201301YE80295,1,1,1,1,7,3,0,0,0,0,0,21,3
24136,201301YE80295,2,2,1,1,10,3,0,0,0,0,0,21,1
24143,201301YE80302,2,1,1,1,6,3,0,0,0,0,0,9,1
24190,201301YE80351,1,1,2,1,5,3,0,0,2,0,0,9,1
24191,201301YE80351,1,2,2,2,5,3,0,0,1,0,0,9,1
24192,201301YE80351,3,3,1,1,4,3,0,0,0,0,0,9,1
24193,201301YE80351,3,4,2,2,-1,3,0,0,1,0,0,9,3
24194,201301YE80351,5,5,1,1,8,3,0,0,0,0,0,9,1
24224,201301YE80379,5,1,2,2,7,3,0,0,2,0,0,9,-1
24228,201301YE80383,1,2,2,1,8,3,0,0,0,0,0,19,-1
24229,201301YE80383,2,1,2,2,7,3,0,0,1,0,0,9,1
24297,201301YE80447,1,1,1,1,6,3,0,0,0,0,0,9,1
24315,201301YE80465,1,1,1,2,7,3,0,0,0,0,0,9,1
24322,201301YE80469,1,1,1,1,8,3,0,0,0,0,0,9,-1
24333,201301YE80480,1,1,1,2,6,3,0,0,0,0,0,9,2
24340,201301YE80486,2,1,1,2,7,3,0,0,0,0,0,9,1
24347,201301YE80491,1,1,2,1,5,3,0,0,1,0,0,9,-1
24348,201301YE80491,3,2,1,1,8,3,0,0,0,0,0,9,1
24349,201301YE80493,1,1,1,1,8,3,0,0,0,0,0,5,-1
24350,201301YE80493,1,2,2,2,7,3,0,0,0,0,0,5,-1
24394,201301YE80534,2,1,2,2,10,3,0,0,1,0,0,9,2
24395,201301YE80534,2,2,2,2,10,3,0,0,2,0,0,9,1
24404,201301YE80541,2,1,1,1,7,3,0,0,0,0,0,9,1
24405,201301YE80541,2,2,2,2,8,3,0,0,1,0,0,9,-1
24406,201301YE80541,2,3,2,2,3,3,0,0,2,0,0,9,-1
24517,201301YE80636,2,1,2,1,5,3,0,0,1,0,0,9,1
24544,201301YE80660,2,1,2,1,7,3,0,0,1,0,0,9,1
24545,201301YE80660,3,2,2,2,10,3,0,0,1,0,0,9,-1
24557,201301YE80672,1,1,3,1,6,2,9,9,0,0,-1,0,-1
24558,201301YE80672,1,2,3,1,7,2,9,9,0,0,-1,0,1
24559,201301YE80672,1,3,3,1,7,2,9,9,0,0,-1,0,-1
24581,201301YE80697,2,1,1,1,5,3,0,0,0,0,0,9,1
24590,201301YE80703,1,1,1,2,8,3,0,0,0,0,0,9,1
24591,201301YE80703,1,2,2,1,8,3,0,0,2,0,0,9,1
24592,201301YE80704,1,1,1,1,11,3,0,0,0,0,0,9,2
24672,201301YE80768,2,1,1,1,5,3,0,0,0,0,0,9,-1
24674,201301YE80771,1,1,1,1,7,3,0,0,0,0,0,9,1
24687,201301YE80783,2,1,1,1,8,3,0,0,0,0,0,9,1
24695,201301YE80793,2,1,1,1,10,3,0,0,0,0,0,9,1
27292,2013030000098,1,1,1,1,7,3,0,0,0,0,0,21,-1
27298,2013030000101,1,1,1,1,8,3,0,0,0,0,0,10,1
27316,2013030000131,1,1,1,2,4,3,0,0,0,0,0,9,1
27317,2013030000131,1,2,2,1,4,3,0,0,1,0,0,9,1
27318,2013030000131,1,3,2,1,4,3,0,0,2,0,0,9,-1
27325,2013030000143,1,1,1,1,9,3,0,0,0,0,0,9,3
27351,2013030000202,1,1,1,1,7,3,0,0,0,0,0,21,2
27389,2013030000310,1,1,1,2,7,3,0,0,0,0,0,9,2
27402,2013030000336,1,1,1,1,6,3,0,0,0,0,0,9,3
27403,2013030000336,2,2,1,1,8,2,0,0,0,0,0,9,1
27404,2013030000336,2,3,2,2,10,3,0,0,1,0,0,9,1
27405,2013030000336,2,4,2,1,11,2,0,0,2,0,0,9,1
27408,2013030000349,1,1,1,2,9,3,0,0,0,0,0,9,1
27409,2013030000349,1,2,2,1,8,3,0,0,2,0,0,9,1
27447,2013030000420,1,1,1,1,9,1,0,0,0,0,0,21,2
27448,2013030000420,2,2,1,1,5,1,0,0,0,0,0,21,1
27449,2013030000420,4,3,1,2,7,3,0,0,0,0,0,9,1
27548,2013030000626,1,1,3,1,8,3,7,9,0,0,2,0,3
27576,2013030000684,2,1,2,2,9,3,0,0,1,0,0,9,1
27609,2013030000751,3,1,1,1,9,3,0,0,0,0,0,9,1
27610,2013030000758,2,1,1,1,4,3,0,0,0,0,0,9,1
27617,2013030000773,1,1,1,1,10,3,0,0,0,0,0,9,2
27652,2013030000833,2,1,1,2,9,3,0,0,0,0,0,9,-1
27676,2013030000885,1,1,1,1,7,2,0,0,0,0,0,9,1
