,Acc_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type
8245,201101KD50240,1,1,1,1,6,3,0,0,0,0,0,9,-1
8246,201101KD50241,1,1,1,2,5,3,0,0,0,0,0,9,3
8247,201101KD50241,2,2,1,1,5,3,0,0,0,0,0,9,1
8248,201101KD50241,4,3,1,2,5,3,0,0,0,0,0,9,3
8263,201101KD50255,1,1,1,1,5,3,0,0,0,0,0,5,-1
8269,201101KD50258,1,1,1,1,7,3,0,0,0,0,0,9,1
8270,201101KD50258,2,2,1,1,8,3,0,0,0,0,0,9,1
8271,201101KD50258,2,3,2,1,7,3,0,0,1,0,0,9,1
8273,201101KD50260,1,1,1,1,9,3,0,0,0,0,0,9,1
8276,201101KD50262,2,1,1,1,10,3,0,0,0,0,0,9,3
8309,201101KD50294,2,1,1,2,9,3,0,0,0,0,0,9,1
8331,201101KD50310,1,1,1,1,8,3,0,0,0,0,0,9,1
8374,201101KD50349,1,1,2,2,4,3,0,0,2,0,0,9,1
8377,201101KD50351,2,1,1,1,8,3,0,0,0,0,0,9,2
8378,201101KD50351,3,2,1,1,10,3,0,0,0,0,0,9,1
8397,201101KD50365,2,1,2,1,2,3,0,0,2,0,0,9,-1
8398,201101KD50366,4,1,1,1,6,3,0,0,0,0,0,9,2
8406,201101KD50373,1,1,1,1,8,3,0,0,0,0,0,9,1
8407,201101KD50373,2,2,1,1,8,3,0,0,0,0,0,9,1
8408,201101KD50373,2,3,2,2,11,3,0,0,1,0,0,9,-1
8410,201101KD50375,1,1,2,2,3,3,0,0,2,0,0,9,1
8411,201101KD50375,2,2,2,2,3,3,0,0,2,0,0,9,1
8487,201101KD50441,1,1,1,1,8,3,0,0,0,0,0,9,2
8499,201101KD50452,2,1,1,1,6,3,0,0,0,0,0,9,1
8500,201101KD50452,3,2,1,1,6,3,0,0,0,0,0,19,3
8536,201101KD50485,1,1,1,1,7,3,0,0,0,0,0,9,-1
8549,201101KD50499,1,1,1,1,6,3,0,0,0,0,0,9,1
8550,201101KD50499,1,2,2,2,6,3,0,0,2,0,0,9,1
8567,201101KD50511,2,1,2,2,10,3,0,0,1,0,0,9,1
8568,201101KD50512,1,1,1,1,7,3,0,0,0,0,0,9,1
8584,201101KD50528,1,1,1,1,9,3,0,0,0,0,0,9,-1
8610,201101KD50549,1,1,1,1,6,3,0,0,0,0,0,9,1
8619,201101KD50558,1,1,1,2,5,3,0,0,0,0,0,9,1
8644,201101KD59049,1,2,1,1,6,3,0,0,0,0,0,9,-1
8645,201101KD59049,2,1,1,1,6,3,0,0,0,0,0,9,-1
16446,201101SX20088,1,1,1,1,7,3,0,0,0,0,0,9,-1
16447,201101SX20088,1,2,2,1,6,3,0,0,1,0,0,9,1
16466,201101SX20109,1,1,1,2,5,2,0,0,0,0,0,9,1
16551,201101SX20193,1,1,2,1,5,3,0,0,1,0,0,9,-1
16589,201101SX20229,1,1,1,1,8,3,0,0,0,0,0,19,1
16616,201101SX20258,2,1,1,1,7,3,0,0,0,0,0,9,-1
16617,201101SX20258,3,2,1,1,6,3,0,0,0,0,0,9,1
16707,201101SX20342,1,1,1,1,7,3,0,0,0,0,0,9,1
16797,201101SX20425,1,1,1,2,7,3,0,0,0,0,0,9,1
16798,201101SX20425,1,2,2,2,6,2,0,0,1,0,0,9,1
16833,201101SX20457,1,1,1,1,5,3,0,0,0,0,0,9,1
16967,201101SX20582,1,1,1,1,10,2,0,0,0,0,0,5,1
16985,201101SX20601,1,1,1,1,8,3,0,0,0,0,0,9,1
17054,201101SX20662,1,1,1,2,6,3,0,0,0,0,0,9,-1
17073,201101SX20679,2,1,1,1,6,3,0,0,0,0,0,9,1
17183,201101SX20785,1,1,1,1,6,3,0,0,0,0,0,9,1
17277,201101SX20858,1,1,1,1,9,3,0,0,0,0,0,9,-1
17317,201101SX20892,2,1,1,2,11,3,0,0,0,0,0,9,1
17382,201101SX20952,1,1,1,1,9,3,0,0,0,0,0,9,-1
17667,201101TA00065,1,1,3,1,8,2,9,9,0,0,2,0,-1
18472,201101TA01033,1,1,1,1,6,2,0,0,0,0,0,9,3
18473,201101TA01033,1,2,2,1,5,2,0,0,1,0,0,9,1
18474,201101TA01033,1,3,2,1,5,3,0,0,2,0,0,9,3
18592,201101TA01174,1,1,1,2,8,2,0,0,0,0,0,9,1
18593,201101TA01174,1,2,2,1,9,3,0,0,1,0,0,9,-1
18635,201101TA01225,1,1,2,2,9,3,0,0,1,0,0,9,-1
18891,201101TA01522,1,1,1,1,7,3,0,0,0,0,0,21,-1
19102,201101TA01740,2,1,1,1,7,3,0,0,0,0,0,9,-1
20726,201101TB01647,1,1,1,2,6,2,0,0,0,0,0,9,-1
20847,201101TD00053,1,1,1,1,7,1,0,0,0,0,0,21,-1
20881,201101TD00091,1,1,1,1,8,1,0,0,0,0,0,5,1
20983,201101TD00200,1,1,1,1,5,1,0,0,0,0,0,9,1
20996,201101TD00213,1,1,3,1,6,1,5,1,0,0,2,0,-1
20997,201101TD00215,1,1,1,1,9,3,0,0,0,0,0,9,1
20998,201101TD00215,1,2,2,2,11,1,0,0,1,0,0,9,1
21424,201101TX20018,2,1,1,1,6,3,0,0,0,0,0,9,1
21427,201101TX20021,1,1,1,2,7,3,0,0,0,0,0,9,1
21471,201101TX20066,1,1,1,1,4,3,0,0,0,0,0,9,1
21472,201101TX20066,2,2,1,1,6,3,0,0,0,0,0,9,1
21475,201101TX20069,1,1,1,1,9,3,0,0,0,0,0,8,1
21476,201101TX20069,1,2,2,1,-1,3,0,0,2,0,0,8,-1
21483,201101TX20079,1,1,1,1,6,3,0,0,0,0,0,9,1
21484,201101TX20079,2,2,1,2,5,3,0,0,0,0,0,9,1
21502,201101TX20098,2,1,1,2,8,3,0,0,0,0,0,9,1
21513,201101TX20110,2,1,1,1,6,3,0,0,0,0,0,8,1
21514,201101TX20110,3,2,1,1,6,3,0,0,0,0,0,9,1
21515,201101TX20110,3,3,2,1,6,3,0,0,2,0,0,9,1
21516,201101TX20110,3,4,2,1,5,3,0,0,1,0,0,9,2
21517,201101TX20110,3,5,2,1,6,3,0,0,2,0,0,9,1
21586,201101TX20163,1,1,1,1,7,3,0,0,0,0,0,9,2
21587,201101TX20163,2,2,1,2,5,3,0,0,0,0,0,9,1
21600,201101TX20176,3,1,1,2,6,3,0,0,0,0,0,9,1
21612,201101TX20185,1,1,1,1,9,3,0,0,0,0,0,5,1
21616,201101TX20189,1,1,1,1,10,3,0,0,0,0,0,9,1
21663,201101TX20240,1,1,1,2,8,3,0,0,0,0,0,9,1
21688,201101TX20263,2,1,2,2,8,3,0,0,1,0,0,9,1
21701,201101TX20275,2,1,1,1,7,3,0,0,0,0,0,8,1
21751,201101TX20319,1,1,2,2,7,3,0,0,2,0,0,8,1
21757,201101TX20325,1,1,1,2,5,3,0,0,0,0,0,9,1
21758,201101TX20325,2,2,1,2,7,3,0,0,0,0,0,9,1
21761,201101TX20328,2,1,1,1,5,3,0,0,0,0,0,5,1
21771,201101TX20336,2,1,1,1,10,3,0,0,0,0,0,9,3
21805,201101TX20374,2,1,1,1,7,3,0,0,0,0,0,19,1
21806,201101TX20374,2,2,2,1,4,3,0,0,0,0,0,19,1
21807,201101TX20374,2,3,2,2,3,3,0,0,0,0,0,19,1
21822,201101TX20394,1,1,1,1,7,3,0,0,0,0,0,9,1
21837,201101TX20407,2,1,1,1,9,3,0,0,0,0,0,19,1
21885,201101TX20446,2,1,1,1,6,3,0,0,0,0,0,19,1
21886,201101TX20446,2,2,2,1,9,3,0,0,0,0,0,19,1
21906,201101TX20464,1,1,1,2,9,3,0,0,0,0,0,9,1
21907,201101TX20465,2,1,1,1,7,3,0,0,0,0,0,5,1
21910,201101TX20468,1,1,1,2,8,3,0,0,0,0,0,9,1
21911,201101TX20468,1,2,2,2,5,3,0,0,1,0,0,9,-1
21953,201101TX20512,1,1,1,1,7,3,0,0,0,0,0,9,2
21954,201101TX20512,2,2,1,1,7,3,0,0,0,0,0,8,1
21988,201101TX20543,2,1,2,2,-1,3,0,0,0,0,0,10,-1
21989,201101TX20543,2,2,2,1,6,3,0,0,0,0,0,10,-1
21990,201101TX20543,2,3,2,1,10,3,0,0,0,0,0,10,-1
21991,201101TX20543,2,4,2,1,-1,3,0,0,0,0,0,10,1
21992,201101TX20543,2,5,2,1,-1,3,0,0,0,0,0,10,1
21994,201101TX20545,1,1,2,2,6,3,0,0,1,0,0,9,1
22031,201101TX20580,3,1,1,1,6,3,0,0,0,0,0,8,1
22060,201101TX20607,1,1,1,1,9,3,0,0,0,0,0,8,1
22061,201101TX20607,1,2,2,1,6,3,0,0,2,0,0,8,-1
22062,201101TX20607,1,3,2,2,6,3,0,0,2,0,0,8,-1
22063,201101TX20607,2,4,1,2,-1,3,0,0,0,0,0,9,-1
22116,201101TX20658,1,1,1,1,6,3,0,0,0,0,0,9,1
22176,201101TX20710,1,1,1,2,4,3,0,0,0,0,0,9,1
22183,201101TX20717,1,1,1,1,8,2,0,0,0,0,0,9,1
22188,201101TX20723,1,1,2,2,5,3,0,0,1,0,0,9,1
22189,201101TX20723,1,2,2,2,6,3,0,0,2,0,0,9,1
22192,201101TX20728,1,1,2,1,2,3,0,0,1,0,0,9,1
22203,201101TX20735,2,1,1,1,6,3,0,0,0,0,0,5,1
22265,201101TX20797,2,1,2,2,7,3,0,0,0,0,0,19,-1
22266,201101TX20798,1,1,2,2,1,3,0,0,2,0,0,9,1
25055,201101XH30020,2,1,1,1,10,3,0,0,0,0,0,9,1
25056,201101XH30020,3,2,1,1,7,3,0,0,0,0,0,9,2
25078,201101XH30042,1,1,1,1,-1,3,0,0,0,0,0,9,-1
25079,201101XH30042,3,2,1,2,7,3,0,0,0,0,0,9,1
25113,201101XH30076,1,1,1,1,8,3,0,0,0,0,0,9,1
25141,201101XH30111,1,1,1,2,9,3,0,0,0,0,0,9,-1
25142,201101XH30111,1,2,2,1,9,3,0,0,1,0,0,9,-1
25143,201101XH30112,1,1,1,2,5,3,0,0,0,0,0,9,1
25144,201101XH30112,2,2,1,2,6,3,0,0,0,0,0,9,1
25177,201101XH30142,2,1,1,2,5,3,0,0,0,0,0,9,-1
25219,201101XH30190,1,1,1,2,6,3,0,0,0,0,0,9,1
25220,201101XH30191,1,1,1,2,6,3,0,0,0,0,0,9,1
25221,201101XH30191,1,2,2,1,8,3,0,0,1,0,0,9,1
25222,201101XH30192,1,1,2,2,5,2,0,0,1,0,0,9,1
25230,201101XH30200,1,1,1,1,6,3,0,0,0,0,0,9,3
25231,201101XH30200,2,2,2,2,6,3,0,0,1,0,0,9,3
25232,201101XH30201,2,1,1,2,8,3,0,0,0,0,0,9,1
25233,201101XH30201,3,2,1,1,9,3,0,0,0,0,0,9,1
25266,201101XH30230,1,1,1,1,7,3,0,0,0,0,0,9,1
25267,201101XH30230,1,2,2,2,7,3,0,0,1,0,0,9,-1
25306,201101XH30264,2,1,1,1,5,3,0,0,0,0,0,5,1
25307,201101XH30265,3,1,1,2,8,3,0,0,0,0,0,9,1
25308,201101XH30265,3,2,2,1,9,3,0,0,1,0,0,9,-1
25358,201101XH30310,1,1,2,2,4,3,0,0,1,0,0,9,1
25378,201101XH30332,1,1,1,1,5,3,0,0,0,0,0,9,1
25379,201101XH30332,1,2,2,1,5,3,0,0,1,0,0,9,1
25381,201101XH30334,1,1,1,2,6,3,0,0,0,0,0,9,1
25382,201101XH30334,2,2,1,2,9,3,0,0,0,0,0,9,-1
25383,201101XH30334,3,3,1,1,7,3,0,0,0,0,0,9,-1
25384,201101XH30334,4,4,1,2,8,3,0,0,0,0,0,9,1
25385,201101XH30334,4,5,2,2,8,3,0,0,1,0,0,9,-1
25446,201101XH30393,1,1,1,1,6,3,0,0,0,0,0,9,-1
25469,201101XH30418,2,1,1,1,5,3,0,0,0,0,0,19,1
25480,201101XH30428,1,3,1,1,8,3,0,0,0,0,0,9,1
25481,201101XH30428,2,4,1,1,6,3,0,0,0,0,0,9,1
25482,201101XH30428,3,2,1,1,8,3,0,0,0,0,0,9,3
25483,201101XH30428,4,1,1,1,9,3,0,0,0,0,0,9,1
25501,201101XH30443,1,1,1,1,8,2,0,0,0,0,0,9,1
25502,201101XH30443,2,2,1,1,-1,3,0,0,0,0,0,9,1
25503,201101XH30443,3,3,1,1,8,3,0,0,0,0,0,9,1
25523,201101XH30468,2,1,2,1,7,3,0,0,0,0,0,21,1
25538,201101XH30484,1,1,1,1,9,3,0,0,0,0,0,9,1
25574,201101XH30519,1,1,1,1,7,3,0,0,0,0,0,9,1
25603,201101XH30551,1,1,1,1,7,3,0,0,0,0,0,21,-1
25604,201101XH30551,2,2,2,1,6,3,0,0,1,0,0,9,2
25619,201101XH30564,3,1,1,1,9,3,0,0,0,0,0,9,1
25621,201101XH30566,2,1,1,1,6,3,0,0,0,0,0,9,1
25638,201101XH30584,1,1,1,2,6,3,0,0,0,0,0,9,1
25651,201101XH30592,1,1,1,1,6,3,0,0,0,0,0,9,-1
25662,201101XH30602,1,1,1,1,7,3,0,0,0,0,0,5,-1
25681,201101XH30618,2,1,1,2,9,3,0,0,0,0,0,9,1
25690,201101XH30626,2,1,1,1,9,2,0,0,0,0,0,9,3
25691,201101XH30626,2,2,2,2,10,2,0,0,1,0,0,9,-1
25696,201101XH30631,2,1,1,1,9,3,0,0,0,0,0,9,-1
25697,201101XH30631,2,2,2,2,6,3,0,0,1,0,0,9,-1
25700,201101XH30634,1,1,1,1,7,3,0,0,0,0,0,5,-1
25701,201101XH30635,1,1,1,1,8,3,0,0,0,0,0,9,1
25702,201101XH30635,1,2,2,1,8,3,0,0,1,0,0,9,-1
25703,201101XH30635,2,3,1,1,6,3,0,0,0,0,0,9,1
25714,201101XH30643,2,1,1,1,7,3,0,0,0,0,0,19,1
25729,201101XH30659,1,1,1,2,6,3,0,0,0,0,0,9,1
25766,201101XH30697,3,1,1,1,7,3,0,0,0,0,0,9,1
25767,201101XH30697,3,2,2,1,3,3,0,0,2,0,0,9,2
25770,201101XH30699,2,1,1,1,8,3,0,0,0,0,0,9,1
25783,201101XH30710,2,1,2,2,6,3,0,0,1,0,0,9,1
25784,201101XH30710,3,2,1,2,6,3,0,0,0,0,0,9,1
25785,201101XH30710,4,3,1,1,6,3,0,0,0,0,0,9,1
25787,201101XH30712,1,1,1,2,5,3,0,0,0,0,0,9,1
25788,201101XH30712,1,2,2,2,5,3,0,0,1,0,0,9,2
25842,201101XH30754,1,1,1,1,6,3,0,0,0,0,0,9,1
25843,201101XH30754,1,2,2,2,5,3,0,0,2,0,0,9,-1
25846,201101XH30758,1,1,1,1,6,3,0,0,0,0,0,9,-1
25847,201101XH30758,1,2,2,1,6,3,0,0,1,0,0,9,-1
25853,201101XH30764,2,1,2,2,5,3,0,0,1,0,0,9,1
25871,201101XH30787,1,1,1,1,9,3,0,0,0,0,0,9,1
25872,201101XH30787,2,2,1,1,8,3,0,0,0,0,0,9,1
25873,201101XH30787,4,3,1,1,-1,3,0,0,0,0,0,9,-1
25874,201101XH30789,2,1,1,1,7,3,0,0,0,0,0,9,1
25875,201101XH30790,2,1,1,1,8,3,0,0,0,0,0,19,1
25884,201101XH30826,1,1,2,2,6,3,0,0,2,0,0,9,1
25885,201101XH30826,2,2,2,2,9,3,0,0,1,0,0,9,-1
25886,201101XH30826,2,3,1,1,7,3,0,0,0,0,0,9,2
25899,201101YE80009,2,1,1,2,5,3,0,0,0,0,0,9,1
25900,201101YE80010,1,1,1,1,4,3,0,0,0,0,0,9,1
25901,201101YE80010,1,2,2,1,-1,3,0,0,1,0,0,9,1
25902,201101YE80010,1,3,2,1,4,3,0,0,2,0,0,9,1
25903,201101YE80010,1,4,2,1,4,3,0,0,2,0,0,9,1
25934,201101YE80043,1,1,1,1,5,3,0,0,0,0,0,9,1
26041,201101YE80151,3,1,1,1,9,3,0,0,0,0,0,9,1
26043,201101YE80153,1,1,1,1,7,3,0,0,0,0,0,9,1
26044,201101YE80153,1,2,2,1,6,3,0,0,1,0,0,9,1
26051,201101YE80159,1,1,1,1,8,3,0,0,0,0,0,19,1
26060,201101YE80173,1,1,1,2,5,3,0,0,0,0,0,9,1
26061,201101YE80173,2,2,1,1,8,3,0,0,0,0,0,19,2
26062,201101YE80173,2,3,2,2,11,3,0,0,0,0,0,19,1
26099,201101YE80208,1,1,1,1,6,3,0,0,0,0,0,9,1
26115,201101YE80220,1,1,1,2,6,3,0,0,0,0,0,9,1
26116,201101YE80220,2,2,1,1,5,3,0,0,0,0,0,9,1
26130,201101YE80239,2,1,1,2,8,3,0,0,0,0,0,9,1
26162,201101YE80266,1,1,1,1,9,3,0,0,0,0,0,5,1
26177,201101YE80281,2,1,1,2,5,2,0,0,0,0,0,9,1
26178,201101YE80281,2,2,2,2,-1,2,0,0,2,0,0,9,-1
26179,201101YE80281,2,3,2,2,1,2,0,0,2,0,0,9,-1
26180,201101YE80281,2,4,2,2,3,2,0,0,2,0,0,9,-1
26236,201101YE80316,1,1,1,1,7,3,0,0,0,0,0,9,-1
26237,201101YE80316,1,2,2,1,7,3,0,0,2,0,0,9,-1
26249,201101YE80329,2,1,1,1,6,3,0,0,0,0,0,9,-1
26250,201101YE80329,2,2,2,2,6,3,0,0,1,0,0,9,-1
26290,201101YE80357,1,1,1,1,6,3,0,0,0,0,0,5,-1
26291,201101YE80357,1,2,2,2,6,3,0,0,0,0,0,5,1
26385,201101YE80437,1,1,1,1,6,3,0,0,0,0,0,9,2
26386,201101YE80437,1,2,2,2,6,3,0,0,1,0,0,9,-1
26387,201101YE80438,3,1,1,1,5,3,0,0,0,0,0,9,2
26392,201101YE80442,3,1,1,1,-1,3,0,0,0,0,0,9,2
26393,201101YE80442,3,2,2,1,10,3,0,0,1,0,0,9,-1
26411,201101YE80462,1,1,1,1,8,3,0,0,0,0,0,9,2
26412,201101YE80462,1,2,2,2,1,3,0,0,2,0,0,9,-1
26413,201101YE80462,2,3,2,1,4,3,0,0,2,0,0,9,1
26423,201101YE80473,2,1,1,2,-1,3,0,0,0,0,0,9,1
26424,201101YE80473,2,2,2,2,-1,3,0,0,1,0,0,9,1
26436,201101YE80486,1,1,1,2,9,3,0,0,0,0,0,9,1
26491,201101YE80532,1,1,1,1,7,3,0,0,0,0,0,5,1
26512,201101YE80553,2,1,2,2,11,3,0,0,1,0,0,9,-1
26516,201101YE80557,2,1,1,2,8,3,0,0,0,0,0,9,2
26519,201101YE80560,4,1,1,2,7,3,0,0,0,0,0,9,1
26554,201101YE80588,1,1,1,1,5,3,0,0,0,0,0,9,1
26556,201101YE80590,1,1,1,2,7,3,0,0,0,0,0,9,3
26557,201101YE80590,2,2,2,1,4,3,0,0,0,0,0,19,1
26607,201101YE80637,1,1,1,1,-1,3,0,0,0,0,0,9,-1
26608,201101YE80637,2,2,1,2,-1,3,0,0,0,0,0,9,-1
26635,201101YE80663,1,1,1,2,8,3,0,0,0,0,0,9,1
26636,201101YE80663,2,2,1,1,4,3,0,0,0,0,0,9,1
26638,201101YE80665,1,1,1,1,6,3,0,0,0,0,0,9,1
26639,201101YE80665,2,2,1,1,7,3,0,0,0,0,0,9,-1
26640,201101YE80665,3,3,1,1,9,3,0,0,0,0,0,9,-1
26684,201101YE80709,1,1,1,2,6,3,0,0,0,0,0,9,1
26757,201101YE80774,1,1,1,1,6,2,0,0,0,0,0,21,1
26783,201101YE80802,2,1,1,1,9,3,0,0,0,0,0,9,-1
26790,201101YE80807,1,1,1,2,6,3,0,0,0,0,0,9,1
26791,201101YE80807,2,2,1,1,7,3,0,0,0,0,0,9,1
26803,201101YE80820,2,1,1,2,5,3,0,0,0,0,0,9,1
26814,201101YE80829,1,1,1,1,8,3,0,0,0,0,0,9,-1
26815,201101YE80829,2,2,1,2,5,3,0,0,0,0,0,9,-1
26833,201101YE80851,3,1,1,1,7,3,0,0,0,0,0,9,1
26857,201101YE80876,1,1,1,2,8,3,0,0,0,0,0,9,1
26858,201101YE80876,1,2,2,1,8,3,0,0,1,0,0,9,-1
26871,201101YE80893,1,1,1,1,6,3,0,0,0,0,0,9,1
26872,201101YE80893,1,2,2,2,6,3,0,0,2,0,0,9,1
26873,201101YE80893,2,3,1,1,4,3,0,0,0,0,0,19,1
29296,2011030000010,1,1,1,1,9,3,0,0,0,0,0,21,1
29302,2011030000030,1,1,2,2,4,3,0,0,1,0,0,9,1
29334,2011030000086,2,1,1,2,7,2,0,0,0,0,0,9,1
29335,2011030000086,3,2,1,1,6,3,0,0,0,0,0,9,1
29336,2011030000086,4,3,1,2,9,3,0,0,0,0,0,9,1
29337,2011030000086,4,4,2,1,8,3,0,0,1,0,0,9,1
29387,2011030000177,1,1,2,1,6,3,0,0,1,0,0,9,1
29414,2011030000223,1,1,1,1,6,3,0,0,0,0,0,21,1
29415,2011030000223,1,2,2,1,7,3,0,0,1,0,0,21,3
29436,2011030000261,1,1,1,1,7,2,0,0,0,0,0,21,-1
29450,2011030000281,1,1,1,1,8,3,0,0,0,0,0,21,2
29452,2011030000290,1,1,1,1,8,2,0,0,0,0,0,21,3
29456,2011030000302,1,1,1,1,10,3,0,0,0,0,0,9,-1
29457,2011030000302,1,2,2,2,9,2,0,0,1,0,0,9,-1
29565,2011030000518,2,1,1,1,6,3,0,0,0,0,0,9,1
29566,2011030000522,1,1,2,2,8,3,0,0,1,0,0,9,1
29649,2011030000678,1,1,1,1,4,3,0,0,0,0,0,9,1
29650,2011030000678,1,2,2,1,4,3,0,0,1,0,0,9,1
29651,2011030000678,1,3,2,2,4,3,0,0,2,0,0,9,1
29652,2011030000678,1,4,2,2,4,3,0,0,2,0,0,9,1
29659,2011030000688,2,1,2,2,6,3,0,0,1,0,0,9,3
29696,2011030000742,1,1,1,1,4,3,0,0,0,0,0,9,1
29697,2011030000742,1,2,2,1,5,3,0,0,1,0,0,9,2
29711,2011030000774,1,1,1,2,5,3,0,0,0,0,0,9,1
29712,2011030000774,1,2,2,1,6,3,0,0,2,0,0,9,1
29713,2011030000774,1,3,2,2,5,3,0,0,2,0,0,9,1
29734,2011030000798,1,1,1,1,8,3,0,0,0,0,0,9,1
29735,2011030000799,1,1,1,1,4,3,0,0,0,0,0,9,1
29737,2011030000802,1,1,1,2,6,3,0,0,0,0,0,9,1
29738,2011030000804,1,1,1,2,8,3,0,0,0,0,0,9,1
29739,2011030000804,1,2,2,1,8,3,0,0,1,0,0,9,1
29740,2011030000804,1,3,2,1,3,3,0,0,2,0,0,9,1
29781,2011030000873,1,1,2,2,6,2,0,0,1,0,0,9,1
29787,2011030000880,2,1,1,2,6,3,0,0,0,0,0,9,1
29810,2011030000953,1,1,1,1,7,3,0,0,0,0,0,9,1
29811,2011030000953,2,2,1,1,8,2,0,0,0,0,0,9,1
29812,2011030000953,2,3,2,1,8,3,0,0,1,0,0,9,1
29835,2011030000974,1,1,1,1,6,3,0,0,0,0,0,19,1
29836,2011030000974,1,2,2,1,6,3,0,0,1,0,0,19,-1
29853,2011030001003,1,1,1,1,8,3,0,0,0,0,0,21,2
29854,2011030001003,2,2,1,2,6,3,0,0,0,0,0,9,1
29878,2011030001047,1,1,1,1,4,3,0,0,0,0,0,9,2
29879,2011030001047,2,2,2,1,11,3,0,0,2,0,0,9,1
29924,2011030001121,2,1,1,1,8,3,0,0,0,0,0,19,1
29935,2011030001137,1,1,1,1,7,3,0,0,0,0,0,19,3
29975,2011030001215,1,1,1,1,7,3,0,0,0,0,0,19,3
29976,2011030001215,1,3,2,1,5,3,0,0,0,0,0,19,3
29977,2011030001215,2,2,1,1,6,3,0,0,0,0,0,9,1
29979,2011030001222,1,1,1,1,6,3,0,0,0,0,0,19,1
29980,2011030001223,2,1,2,2,6,3,0,0,1,0,0,9,1
29981,2011030001223,2,2,2,1,1,3,0,0,2,0,0,9,1
29982,2011030001223,2,3,2,2,3,3,0,0,2,0,0,9,1
30017,2011030001271,1,1,1,1,8,3,0,0,0,0,0,19,1
30022,2011030001291,1,1,1,2,5,3,0,0,0,0,0,9,1
30025,2011030001305,1,1,1,1,4,2,0,0,0,0,0,5,1
30073,2011030001351,1,1,1,1,6,3,0,0,0,0,0,9,-1
30102,2011030001418,1,1,1,1,6,3,0,0,0,0,0,19,1
30164,2011030001514,1,1,2,2,5,3,0,0,1,0,0,9,1
30176,2011030001540,3,1,2,2,6,3,0,0,1,0,0,9,3
30265,2011030001719,1,1,1,1,5,3,0,0,0,0,0,9,1
30330,2011030001815,1,1,1,1,6,3,0,0,0,0,0,9,1
30331,2011030001815,1,2,2,1,8,3,0,0,1,0,0,9,1
30332,2011030001815,1,3,2,1,8,3,0,0,2,0,0,9,1
30333,2011030001816,1,1,1,1,8,3,0,0,0,0,0,21,1
30334,2011030001816,2,2,1,1,6,3,0,0,0,0,0,9,1
30335,2011030001816,2,3,2,2,6,3,0,0,1,0,0,9,1
30375,2011030001885,1,1,2,2,6,3,0,0,1,0,0,9,1
30382,2011030001895,2,1,2,2,9,3,0,0,1,0,0,9,3
30434,2011030001984,1,1,1,1,8,3,0,0,0,0,0,9,1
30449,2011030002000,1,1,1,2,7,3,0,0,0,0,0,9,-1
30450,2011030002000,1,2,2,2,5,3,0,0,1,0,0,9,1
30453,2011030002003,1,1,1,1,7,3,0,0,0,0,0,9,1
30454,2011030002005,1,1,1,2,8,3,0,0,0,0,0,9,1
30455,2011030002005,1,2,2,2,4,3,0,0,2,0,0,9,1
30456,2011030002005,1,3,2,2,8,3,0,0,1,0,0,9,1
30457,2011030002005,1,4,2,1,1,3,0,0,2,0,0,9,1
30458,2011030002005,1,5,2,1,2,2,0,0,2,0,0,9,1
