,Accident_Index,Vehicle_Reference,Casualty_Reference,Casualty_Class,Sex_of_Casualty,Age_of_Casualty,Age_Band_of_Casualty,Casualty_Severity,Pedestrian_Location,Pedestrian_Movement,Car_Passenger,Bus_or_Coach_Passenger,Pedestrian_Road_Maintenance_Worker,Casualty_Type,Casualty_Home_Area_Type
89354,201523M066032,1,1,1,1,40,7,3,0,0,0,0,0,9,1
89355,201523M066048,1,1,2,1,17,4,3,0,0,2,0,0,9,1
89356,201523M066048,1,2,2,1,16,4,3,0,0,2,0,0,9,1
89357,201523M066048,1,3,2,1,21,5,3,0,0,1,0,0,9,1
89358,201523M066103,2,1,1,1,38,7,3,0,0,0,0,0,9,1
89359,201523M066116,1,1,1,2,28,6,3,0,0,0,0,0,9,1
89360,201523M066144,1,1,1,2,27,6,3,0,0,0,0,0,9,1
89361,201523M066171,1,1,1,1,37,7,2,0,0,0,0,0,9,1
89362,201523M066171,1,2,2,2,28,6,2,0,0,1,0,0,9,1
89363,201523M066174,1,1,1,1,19,4,3,0,0,0,0,0,9,1
89364,201523M066175,1,1,1,1,26,6,2,0,0,0,0,0,9,1
89365,201523M066175,1,2,2,1,23,5,3,0,0,1,0,0,9,1
89366,201523M066180,2,1,1,1,43,7,3,0,0,0,0,0,9,1
89367,201523M066180,2,3,2,2,41,7,3,0,0,1,0,0,9,1
89368,201523M066180,2,4,2,1,4,1,3,0,0,2,0,0,9,1
89369,201523M066180,3,2,1,1,39,7,3,0,0,0,0,0,9,1
89370,201523M066185,2,1,1,2,53,8,3,0,0,0,0,0,9,1
89371,201523M066206,1,1,1,2,74,10,2,0,0,0,0,0,9,1
89372,201523M066254,2,1,1,2,55,8,3,0,0,0,0,0,9,1
89373,201523M066254,2,2,2,2,77,11,3,0,0,1,0,0,9,1
89374,201523M066260,1,1,1,1,57,9,3,0,0,0,0,0,21,1
89375,201523M066260,2,2,1,2,35,6,3,0,0,0,0,0,9,1
89376,201523M066260,2,3,2,2,22,5,3,0,0,1,0,0,9,1
89377,201523M066276,1,1,1,1,46,8,3,0,0,0,0,0,9,1
89378,201523M066285,1,1,1,1,32,6,3,0,0,0,0,0,9,3
89379,201523M066285,2,2,1,1,34,6,3,0,0,0,0,0,19,2
89380,201523M066331,1,1,2,2,41,7,3,0,0,1,0,0,9,1
89381,201523M066336,2,1,1,1,54,8,3,0,0,0,0,0,9,3
89382,201523M066364,2,1,1,2,41,7,3,0,0,0,0,0,9,1
89383,201523M066365,1,3,2,2,16,4,3,0,0,2,0,0,9,1
89384,201523M066365,2,2,2,2,19,4,3,0,0,1,0,0,9,1
89385,201523M066365,3,1,2,2,60,9,3,0,0,1,0,0,9,1
89386,201523M066366,2,1,1,1,42,7,3,0,0,0,0,0,9,1
89387,201523M066374,2,1,1,1,29,6,3,0,0,0,0,0,9,-1
89388,201523M066424,2,1,1,2,43,7,3,0,0,0,0,0,9,1
89389,201523M066444,2,1,1,1,35,6,3,0,0,0,0,0,9,1
89390,201523M066444,3,2,1,1,44,7,3,0,0,0,0,0,9,1
89391,201523M066507,1,1,1,1,45,7,3,0,0,0,0,0,19,1
89392,201523M066529,2,1,1,1,47,8,3,0,0,0,0,0,9,1
89393,201523M066531,1,1,1,2,34,6,3,0,0,0,0,0,9,1
89394,201523M066531,1,2,2,1,9,2,3,0,0,2,0,0,9,1
89395,201523M066565,1,1,1,1,61,9,2,0,0,0,0,0,5,1
89396,201523M066573,2,1,1,2,31,6,3,0,0,0,0,0,9,3
89397,201523M066573,3,2,1,1,33,6,3,0,0,0,0,0,9,1
89398,201523M066664,2,1,1,2,22,5,3,0,0,0,0,0,9,-1
89399,201523M400017,1,1,1,2,20,4,3,0,0,0,0,0,9,3
89400,201523M400017,1,2,2,2,20,4,3,0,0,1,0,0,9,1
89401,201523M400075,1,1,1,1,47,8,3,0,0,0,0,0,9,1
89402,201523M400075,2,2,1,1,31,6,3,0,0,0,0,0,9,1
89403,201523M400075,2,3,2,2,27,6,3,0,0,1,0,0,9,1
89404,201523M400103,2,1,1,2,27,6,3,0,0,0,0,0,9,3
89405,201523M400103,2,2,2,2,67,10,3,0,0,1,0,0,9,3
89406,201523M400115,1,2,2,2,16,4,3,0,0,1,0,0,9,1
89407,201523M400115,3,1,2,2,35,6,3,0,0,1,0,0,9,1
89408,201523M400117,1,1,1,1,18,4,3,0,0,0,0,0,9,1
89409,201523M400166,1,1,1,2,24,5,3,0,0,0,0,0,9,-1
89410,201523M400166,1,2,2,2,25,5,2,0,0,1,0,0,9,1
89411,201523M400191,6,1,1,2,32,6,2,0,0,0,0,0,9,1
89412,201523M400192,2,1,1,1,27,6,3,0,0,0,0,0,9,2
89413,201523M400272,3,1,1,1,38,7,3,0,0,0,0,0,19,1
89414,201523M400283,2,1,1,2,42,7,3,0,0,0,0,0,9,2
89415,201523M400317,1,1,1,2,21,5,2,0,0,0,0,0,9,1
89416,201523M400317,1,2,2,2,21,5,3,0,0,1,0,0,9,1
89417,201523M400317,1,3,2,1,22,5,3,0,0,2,0,0,9,1
89418,201523M400332,3,1,1,1,54,8,3,0,0,0,0,0,5,3
89419,201523M400410,3,1,1,2,18,4,3,0,0,0,0,0,9,1
89420,201523M400410,5,2,3,1,28,6,3,9,9,0,0,0,0,1
89421,201523M400415,1,1,2,2,26,6,3,0,0,1,0,0,9,1
89422,201523M400444,1,1,1,2,48,8,3,0,0,0,0,0,9,1
89423,201523M400466,1,1,1,1,38,7,3,0,0,0,0,0,9,1
89424,201523M400466,2,2,1,1,28,6,3,0,0,0,0,0,9,1
89425,201523M400488,1,1,1,1,46,8,3,0,0,0,0,0,9,1
89426,201523M400496,1,1,1,2,67,10,3,0,0,0,0,0,9,1
89427,201523M400543,1,1,1,1,25,5,1,0,0,0,0,0,19,3
89428,201523M400617,2,1,1,1,24,5,3,0,0,0,0,0,9,1
89429,201523M400617,2,2,2,1,23,5,3,0,0,1,0,0,9,1
89430,201523M400635,1,1,1,1,42,7,1,0,0,0,0,0,9,1
89431,201523M400701,1,1,2,1,36,7,3,0,0,1,0,0,19,1
89432,201523M400701,2,2,2,2,45,7,3,0,0,1,0,0,9,1
89433,201523M400701,2,3,2,2,65,9,3,0,0,2,0,0,9,-1
89434,201523M400708,1,1,1,1,56,9,3,0,0,0,0,0,19,1
89435,201523M400708,1,4,2,1,55,8,3,0,0,1,0,0,19,-1
89436,201523M400708,1,5,2,1,27,6,3,0,0,2,0,0,19,1
89437,201523M400708,2,2,1,1,54,8,3,0,0,0,0,0,9,1
89438,201523M400708,3,3,1,1,33,6,3,0,0,0,0,0,9,1
89439,201523M400713,1,1,1,1,24,5,3,0,0,0,0,0,9,1
89440,201523M400769,1,1,1,2,20,4,3,0,0,0,0,0,9,1
89441,201523M400793,1,1,1,2,25,5,3,0,0,0,0,0,9,1
89442,201523M400793,1,2,2,1,12,3,3,0,0,1,0,0,9,1
89443,201523M400827,2,1,1,2,23,5,3,0,0,0,0,0,9,3
89444,201523M400827,2,2,2,2,25,5,3,0,0,1,0,0,9,-1
89445,201523M400827,2,3,2,2,26,6,3,0,0,2,0,0,9,-1
89446,201523M400827,2,4,2,2,24,5,3,0,0,2,0,0,9,-1
89447,201523M401032,1,1,1,1,83,11,2,0,0,0,0,0,9,1
89448,201523M401032,2,2,1,1,41,7,3,0,0,0,0,0,9,-1
89449,201523M401032,3,3,1,1,47,8,3,0,0,0,0,0,9,1
89450,201523M401060,1,1,1,1,18,4,3,0,0,0,0,0,9,3
89451,201523M401061,1,1,2,1,36,7,3,0,0,2,0,0,9,1
89452,201523M401061,3,2,2,2,22,5,3,0,0,1,0,0,9,1
89453,201523M401174,1,1,1,1,22,5,3,0,0,0,0,0,9,1
89454,201523M401189,1,1,1,2,42,7,3,0,0,0,0,0,98,3
89455,201523M401189,1,2,2,2,69,10,3,0,0,1,0,0,98,2
89456,201523M420419,1,1,1,1,23,5,3,0,0,0,0,0,9,3
89457,201523M420477,2,1,1,1,20,4,3,0,0,0,0,0,9,1
89458,201523M420561,2,1,1,2,18,4,3,0,0,0,0,0,9,1
89459,201523M420816,2,1,1,1,45,7,2,0,0,0,0,0,5,1
89460,201523M420823,2,1,2,1,26,6,3,0,0,1,0,0,9,-1
89461,201523M420823,2,2,2,1,55,8,3,0,0,2,0,0,9,-1
89462,201523M420823,2,3,2,2,55,8,3,0,0,2,0,0,9,-1
89463,201523M420956,2,1,1,1,56,9,3,0,0,0,0,0,9,2
89464,201523M420956,2,2,2,1,37,7,3,0,0,2,0,0,9,1
89465,201523M420956,2,3,2,1,30,6,3,0,0,1,0,0,9,3
89466,201523M420964,2,1,1,2,44,7,3,0,0,0,0,0,9,1
89467,201523M420964,2,3,2,1,46,8,3,0,0,1,0,0,9,-1
89468,201523M420964,2,4,2,1,18,4,3,0,0,2,0,0,9,1
89469,201523M420964,3,2,1,1,36,7,3,0,0,0,0,0,9,2
89470,201523M420964,3,5,2,2,35,6,3,0,0,1,0,0,9,-1
89471,201523M420967,1,1,1,2,26,6,3,0,0,0,0,0,9,1
89472,201523M420967,1,4,2,2,65,9,2,0,0,1,0,0,9,1
89473,201523M420967,2,2,1,1,22,5,3,0,0,0,0,0,19,3
89474,201523M420967,2,5,2,1,33,6,3,0,0,0,0,0,19,3
89475,201523M420967,2,6,2,1,39,7,3,0,0,0,0,0,19,1
89476,201523M420967,3,3,1,1,58,9,3,0,0,0,0,0,21,1
89477,201523M420989,3,1,1,2,41,7,3,0,0,0,0,0,9,3
